query,respond,type
上[上 一上]--上上[下下 个 上 周 午 百 次 一 学 期],语法错误，存在无效符号“-”,7
谁都v不了^^谁都代替不了,语法错误，存在无效符号“^”,7
出姓	--出姓名,语法错误，存在无效符号“-”,7
咱一个*，--咱一个n,语法错误，存在无效符号“-”,7
m袭--多次袭,语法错误，存在无效符号“-”,7
似乎确有--确有其事,语法错误，存在无效符号“-”,7
把*上上--把*上上[下下+个+百],语法错误，存在无效符号“-”,7
把*上上--把*上上[下下 个 百],语法错误，存在无效符号“-”,7
外--之外，以外，除外,语法错误，存在无效符号“-”,7
已--已经,语法错误，存在无效符号“-”,7
话说--俗话说,语法错误，存在无效符号“-”,7
劝说--的劝说,语法错误，存在无效符号“-”,7
似乎*本来--本来的,语法错误，存在无效符号“-”,7
我们一个*。--我们一个n,语法错误，存在无效符号“-”,7
公主^^公主请,语法错误，存在无效符号“^”,7
过了[过+一过]--过了过[了 过了],语法错误，存在无效符号“-”,7
过了[过 一过]--过了过[了 过了],语法错误，存在无效符号“-”,7
m+颗+n--一 颗 n,语法错误，存在无效符号“-”,7
m 颗 n--一 颗 n,语法错误，存在无效符号“-”,7
徒手--师徒手,语法错误，存在无效符号“-”,7
[没+没有]过过--从来[没+没有]过过,语法错误，存在无效符号“-”,7
[没 没有]过过--从来[没 没有]过过,语法错误，存在无效符号“-”,7
呕--想呕,语法错误，存在无效符号“-”,7
有v--没有v,语法错误，存在无效符号“-”,7
v旺了--可旺了,语法错误，存在无效符号“-”,7
好像*绝大--绝大的,语法错误，存在无效符号“-”,7
超b--超女,语法错误，存在无效符号“-”,7
发挥..作用^^积极,语法错误，存在无效符号“^”,7
钓鱼--去钓鱼,语法错误，存在无效符号“-”,7
随^^随/p,语法错误，存在无效符号“^”,7
恐怕*根本--根本的,语法错误，存在无效符号“-”,7
说真的--是说真的,语法错误，存在无效符号“-”,7
睡n--睡覺,语法错误，存在无效符号“-”,7
v精--精神文明,语法错误，存在无效符号“-”,7
；f+v+着--；f+v+着+的,语法错误，存在无效符号“-”,7
；f v 着--；f v 着 的,语法错误，存在无效符号“-”,7
一定的V--作用,语法错误，存在无效符号“-”,7
你一个*？--你一个n,语法错误，存在无效符号“-”,7
n*m--v,语法错误，存在无效符号“-”,7
刷n--印刷,语法错误，存在无效符号“-”,7
a中--中国,语法错误，存在无效符号“-”,7
(v)他a{len($1)=1}--是他,语法错误，存在无效符号“-”,7
呀w--呀，,语法错误，存在无效符号“-”,7
孝^^风气,语法错误，存在无效符号“^”,7
这就--这就是,语法错误，存在无效符号“-”,7
跑n--跑v,语法错误，存在无效符号“-”,7
w我很a+w--w我很a？,语法错误，存在无效符号“-”,7
w我很a w--w我很a？,语法错误，存在无效符号“-”,7
她一个*！--她一个n,语法错误，存在无效符号“-”,7
v*爱好--爱好和平,语法错误，存在无效符号“-”,7
v给[r+n]+m--[能+会+想]给[r+n]+m,语法错误，存在无效符号“-”,7
v给[r n] m--[能 会 想]给[r n] m,语法错误，存在无效符号“-”,7
a的眼睛--明亮^^,语法错误，存在无效符号“^”,7
为什么要^^才,语法错误，存在无效符号“^”,7
气得脸^^a,语法错误，存在无效符号“^”,7
上上--上上[下+个+上+周+午+百+次++一+学+期+的+之+二+万+人],语法错误，存在无效符号“-”,7
上上--上上[下 个 上 周 午 百 次  一 学 期 的 之 二 万 人],语法错误，存在无效符号“-”,7
对于....能--能力,语法错误，存在无效符号“-”,7
回一回--[一+那+不+二]回一回,语法错误，存在无效符号“-”,7
回一回--[一 那 不 二]回一回,语法错误，存在无效符号“-”,7
航天^^发射,语法错误，存在无效符号“^”,7
该^^！,语法错误，存在无效符号“^”,7
没V了--没V了。,语法错误，存在无效符号“-”,7
而--而且,语法错误，存在无效符号“-”,7
n外--外n,语法错误，存在无效符号“-”,7
m+辆+n--一 辆 车,语法错误，存在无效符号“-”,7
m 辆 n--一 辆 车,语法错误，存在无效符号“-”,7
固然^^接着,语法错误，存在无效符号“^”,7
一定^^一定全,语法错误，存在无效符号“^”,7
不用讲--w不用讲,语法错误，存在无效符号“-”,7
v给[r+n]+m--[是+能+会]给[r+n]+m,语法错误，存在无效符号“-”,7
v给[r n] m--[是 能 会]给[r n] m,语法错误，存在无效符号“-”,7
一定^^一定又,语法错误，存在无效符号“^”,7
n一q，--护照一本，,语法错误，存在无效符号“-”,7
m+家+n--一 家 n,语法错误，存在无效符号“-”,7
m 家 n--一 家 n,语法错误，存在无效符号“-”,7
飒--小飒,语法错误，存在无效符号“-”,7
什么时候n+v--r什么时候,语法错误，存在无效符号“-”,7
什么时候n v--r什么时候,语法错误，存在无效符号“-”,7
随即^^因为,语法错误，存在无效符号“^”,7
v在s--[v在一起+是在s+会在s+要在s+可以在s+只能在s+能在s+让在s],语法错误，存在无效符号“-”,7
v在s--[v在一起 是在s 会在s 要在s 可以在s 只能在s 能在s 让在s],语法错误，存在无效符号“-”,7
[n+nr+r]++v给了+[n+nr+r]++n--把 [n nr r],语法错误，存在无效符号“-”,7
[n nr r]  v给了 [n nr r]  n--把 [n nr r],语法错误，存在无效符号“-”,7
一.就像--一切,语法错误，存在无效符号“-”,7
n被n--被人,语法错误，存在无效符号“-”,7
即刻^^或者,语法错误，存在无效符号“^”,7
也许*未尝--采用,语法错误，存在无效符号“-”,7
[n+nr]+v+给+[n+nr]+n--[n+nr]+n+v,语法错误，存在无效符号“-”,7
[n nr] v 给 [n nr] n--[n nr] n v,语法错误，存在无效符号“-”,7
a员--员工,语法错误，存在无效符号“-”,7
即刻^^所以,语法错误，存在无效符号“^”,7
随即^^反而,语法错误，存在无效符号“^”,7
死了^^。,语法错误，存在无效符号“^”,7
你这个n--你这个[人 朋 女 样],语法错误，存在无效符号“-”,7
个^^q,语法错误，存在无效符号“^”,7
仿佛根本--根本的,语法错误，存在无效符号“-”,7
也许正--正在,语法错误，存在无效符号“-”,7
这*的m--这是,语法错误，存在无效符号“-”,7
从^^来看,语法错误，存在无效符号“^”,7
你可以去v--了,语法错误，存在无效符号“-”,7
w我很a+w^^“我很a+w,语法错误，存在无效符号“^”,7
w我很a w^^“我很a w,语法错误，存在无效符号“^”,7
实话说--把实话说,语法错误，存在无效符号“-”,7
v得v^^感觉得到,语法错误，存在无效符号“^”,7
碰见^^被,语法错误，存在无效符号“^”,7
一定^^一定加,语法错误，存在无效符号“^”,7
无形v--无形无,语法错误，存在无效符号“-”,7
谁都v不了^^谁都杀不了,语法错误，存在无效符号“^”,7
来[a+n+q]--V来,语法错误，存在无效符号“-”,7
来[a n q]--V来,语法错误，存在无效符号“-”,7
一句解释--一句解释的话,语法错误，存在无效符号“-”,7
不能不说--我不能不说,语法错误，存在无效符号“-”,7
v铁了--是铁了,语法错误，存在无效符号“-”,7
也许*恰^^恰到,语法错误，存在无效符号“^”,7
把+n+v+a+--把/q,语法错误，存在无效符号“-”,7
把 n v a --把/q,语法错误，存在无效符号“-”,7
w应当说^^应当说明,语法错误，存在无效符号“^”,7
这样一.就--这样一来,语法错误，存在无效符号“-”,7
v进去。--听进去,语法错误，存在无效符号“-”,7
一种解释--一种解释方法,语法错误，存在无效符号“-”,7
n器--n器件,语法错误，存在无效符号“-”,7
化--化妆,语法错误，存在无效符号“-”,7
当即^^还是,语法错误，存在无效符号“^”,7
十分n--十分ad,语法错误，存在无效符号“-”,7
没想v--没想出,语法错误，存在无效符号“-”,7
v他个--个人,语法错误，存在无效符号“-”,7
$V*(n){$V=[实施];len($1)=2}^^n*w,语法错误，存在无效符号“^”,7
或许*准v^^准是,语法错误，存在无效符号“^”,7
要我说^^要我说什么,语法错误，存在无效符号“^”,7
子--公子,语法错误，存在无效符号“-”,7
似乎*绝佳--绝佳的,语法错误，存在无效符号“-”,7
说真心话^^w说真心话,语法错误，存在无效符号“^”,7
v秃了--是秃了,语法错误，存在无效符号“-”,7
n疫情--非典,语法错误，存在无效符号“-”,7
n游戏--网络游戏,语法错误，存在无效符号“-”,7
仿佛一定要^^要承担,语法错误，存在无效符号“^”,7
张/v--张狂,语法错误，存在无效符号“-”,7
v员--员工,语法错误，存在无效符号“-”,7
好像*绝对--绝对的,语法错误，存在无效符号“-”,7
难道你不^^吗,语法错误，存在无效符号“^”,7
刚刚/d+v^^刚刚 ./v,语法错误，存在无效符号“^”,7
刚刚/d v^^刚刚 ./v,语法错误，存在无效符号“^”,7
一个弹^^一个弹跳,语法错误，存在无效符号“^”,7
你真是--微博,语法错误，存在无效符号“-”,7
v勤了--变勤了,语法错误，存在无效符号“-”,7
回--回w,语法错误，存在无效符号“-”,7
刚/d+v^^刚+./v,语法错误，存在无效符号“^”,7
刚/d v^^刚 ./v,语法错误，存在无效符号“^”,7
差不多^^多,语法错误，存在无效符号“^”,7
虽然^^只有,语法错误，存在无效符号“^”,7
酸--酸奶,语法错误，存在无效符号“-”,7
../n+杀v--杀出,语法错误，存在无效符号“-”,7
../n 杀v--杀出,语法错误，存在无效符号“-”,7
v个v^^像个,语法错误，存在无效符号“^”,7
流/v+在+s--流在一起,语法错误，存在无效符号“-”,7
流/v 在 s--流在一起,语法错误，存在无效符号“-”,7
虽然^^但是,语法错误，存在无效符号“^”,7
或许诚--诚实,语法错误，存在无效符号“-”,7
m通--多数通,语法错误，存在无效符号“-”,7
炫--炫耀,语法错误，存在无效符号“-”,7
v通了--要通了,语法错误，存在无效符号“-”,7
当即^^那么,语法错误，存在无效符号“^”,7
大约*本来--的本来,语法错误，存在无效符号“-”,7
不+n--不ad,语法错误，存在无效符号“-”,7
不 n--不ad,语法错误，存在无效符号“-”,7
进行一个--进行一个多月,语法错误，存在无效符号“-”,7
不如说^^w不如说,语法错误，存在无效符号“^”,7
酸--核酸,语法错误，存在无效符号“-”,7
太棒了^^真,语法错误，存在无效符号“^”,7
v[下去+出来+上来+进去]--,语法错误，存在无效符号“-”,7
v[下去 出来 上来 进去]--,语法错误，存在无效符号“-”,7
送--送n+，,语法错误，存在无效符号“-”,7
送--送n ，,语法错误，存在无效符号“-”,7
激情+../v--的激情,语法错误，存在无效符号“-”,7
激情 ../v--的激情,语法错误，存在无效符号“-”,7
n+n+n--——,语法错误，存在无效符号“-”,7
n n n--——,语法错误，存在无效符号“-”,7
，f+v+着--，f+v+着+的,语法错误，存在无效符号“-”,7
，f v 着--，f v 着 的,语法错误，存在无效符号“-”,7
随即^^或者,语法错误，存在无效符号“^”,7
上[上+一上]--上上下下,语法错误，存在无效符号“-”,7
上[上 一上]--上上下下,语法错误，存在无效符号“-”,7
人精--害人精,语法错误，存在无效符号“-”,7
不如说--w不如说,语法错误，存在无效符号“-”,7
老实说--你老实说,语法错误，存在无效符号“-”,7
云--云云,语法错误，存在无效符号“-”,7
刚刚/d+v^^刚刚+./v,语法错误，存在无效符号“^”,7
刚刚/d v^^刚刚 ./v,语法错误，存在无效符号“^”,7
大约^^大约v,语法错误，存在无效符号“^”,7
或者--。或者,语法错误，存在无效符号“-”,7
不n--不相适应,语法错误，存在无效符号“-”,7
大概*一定要--要个好身体,语法错误，存在无效符号“-”,7
V去--过去,语法错误，存在无效符号“-”,7
分./d^^分明r,语法错误，存在无效符号“^”,7
a*爱好/n--爱好和平,语法错误，存在无效符号“-”,7
我--我们,语法错误，存在无效符号“-”,7
v在+s--v在一起,语法错误，存在无效符号“-”,7
v在 s--v在一起,语法错误，存在无效符号“-”,7
可以讲^^w可以讲,语法错误，存在无效符号“^”,7
我宁愿^^也,语法错误，存在无效符号“^”,7
v壮了--变壮了,语法错误，存在无效符号“-”,7
[职+工+岗+业]^^女,语法错误，存在无效符号“^”,7
[职 工 岗 业]^^女,语法错误，存在无效符号“^”,7
似乎*的确--确认,语法错误，存在无效符号“-”,7
难民^^难民,语法错误，存在无效符号“^”,7
固然^^然后,语法错误，存在无效符号“^”,7
该*似乎--应该,语法错误，存在无效符号“-”,7
v器--v器件,语法错误，存在无效符号“-”,7
恐怕*正--正在,语法错误，存在无效符号“-”,7
一定^^一定参,语法错误，存在无效符号“^”,7
水汪汪--水汪汪的,语法错误，存在无效符号“-”,7
不用说^^w不用说w,语法错误，存在无效符号“^”,7
歹^^好,语法错误，存在无效符号“^”,7
v轻松了--觉得轻松了,语法错误，存在无效符号“-”,7
大概能--大概能够,语法错误，存在无效符号“-”,7
v松了--是松了,语法错误，存在无效符号“-”,7
仿佛*正--正在,语法错误，存在无效符号“-”,7
似乎*竟--竟然,语法错误，存在无效符号“-”,7
v个v^^是个,语法错误，存在无效符号“^”,7
最+n--最ad--,语法错误，存在无效符号“-”,7
最 n--最ad--,语法错误，存在无效符号“-”,7
整天--一整天,语法错误，存在无效符号“-”,7
v软了--变软了,语法错误，存在无效符号“-”,7
v个v--是个,语法错误，存在无效符号“-”,7
极其n--极其有,语法错误，存在无效符号“-”,7
死了--。,语法错误，存在无效符号“-”,7
一定^^一定出,语法错误，存在无效符号“^”,7
万一--数字,语法错误，存在无效符号“-”,7
v成功了--是成功了,语法错误，存在无效符号“-”,7
中--中w,语法错误，存在无效符号“-”,7
结果怎样--不,语法错误，存在无效符号“-”,7
回回--[回+一+是+“]回回,语法错误，存在无效符号“-”,7
回回--[回 一 是 “]回回,语法错误，存在无效符号“-”,7
有v下来--没有v下来,语法错误，存在无效符号“-”,7
也许*绝对--绝对的,语法错误，存在无效符号“-”,7
v不了什么--改变不了什么,语法错误，存在无效符号“-”,7
v麻木了--是麻木了,语法错误，存在无效符号“-”,7
好不--好不好,语法错误，存在无效符号“-”,7
有多少^^呢,语法错误，存在无效符号“^”,7
\"我猜想--我猜想滴,语法错误，存在无效符号“-”,7
v破了--是破了,语法错误，存在无效符号“-”,7
m标--9000标,语法错误，存在无效符号“-”,7
好像*必得--在必得,语法错误，存在无效符号“-”,7
说句公道话^^w说句公道话,语法错误，存在无效符号“^”,7
既然^^，就^^,语法错误，存在无效符号“^”,7
V向*中--中国,语法错误，存在无效符号“-”,7
v细了--变细了,语法错误，存在无效符号“-”,7
似乎竟--竟然,语法错误，存在无效符号“-”,7
简./d^^简直r,语法错误，存在无效符号“^”,7
m+盘+n--九盘婆婆,语法错误，存在无效符号“-”,7
m 盘 n--九盘婆婆,语法错误，存在无效符号“-”,7
当即^^除非,语法错误，存在无效符号“^”,7
高../n^^h,语法错误，存在无效符号“^”,7
完^^完了，,语法错误，存在无效符号“^”,7
男^^家,语法错误，存在无效符号“^”,7
当即^^不仅,语法错误，存在无效符号“^”,7
一个失^^一个失神,语法错误，存在无效符号“^”,7
v烫了--发烫了,语法错误，存在无效符号“-”,7
v残了--要残了,语法错误，存在无效符号“-”,7
n不如n^^n不如n a,语法错误，存在无效符号“^”,7
或许*非得v^^那儿走一趟,语法错误，存在无效符号“^”,7
饶--[富饶+。人+他],语法错误，存在无效符号“-”,7
饶--[富饶 。人 他],语法错误，存在无效符号“-”,7
一定^^一定坚,语法错误，存在无效符号“^”,7
有V有V^^批判,语法错误，存在无效符号“^”,7
m+面+n--m面膜,语法错误，存在无效符号“-”,7
m 面 n--m面膜,语法错误，存在无效符号“-”,7
v凹了--变凹了,语法错误，存在无效符号“-”,7
必须--那必须,语法错误，存在无效符号“-”,7
谁让--是谁让,语法错误，存在无效符号“-”,7
得哈--哈哈,语法错误，存在无效符号“-”,7
a+爱好/n--爱好和平,语法错误，存在无效符号“-”,7
a 爱好/n--爱好和平,语法错误，存在无效符号“-”,7
该n--该v,语法错误，存在无效符号“-”,7
的帮助--帮助[n+nr+ns+nt+r],语法错误，存在无效符号“-”,7
的帮助--帮助[n nr ns nt r],语法错误，存在无效符号“-”,7
的呢--的呢？,语法错误，存在无效符号“-”,7
下n--v下,语法错误，存在无效符号“-”,7
管他^^管他v不v,语法错误，存在无效符号“^”,7
即刻^^因为,语法错误，存在无效符号“^”,7
m手--一下手,语法错误，存在无效符号“-”,7
不妨说--w不妨说,语法错误，存在无效符号“-”,7
的v^^之v,语法错误，存在无效符号“^”,7
告诉你^^w告诉你w,语法错误，存在无效符号“^”,7
大概--“大概”,语法错误，存在无效符号“-”,7
n人--n人员,语法错误，存在无效符号“-”,7
巴到--巴到天明,语法错误，存在无效符号“-”,7
有(v)--有没有,语法错误，存在无效符号“-”,7
谁都v不了^^谁都说服不了,语法错误，存在无效符号“^”,7
了也不--了也不一定,语法错误，存在无效符号“-”,7
一定^^一定在,语法错误，存在无效符号“^”,7
困死--困死我了,语法错误，存在无效符号“-”,7
n好v--好[有 想 让 起],语法错误，存在无效符号“-”,7
m员--员工,语法错误，存在无效符号“-”,7
n+n^^屁股,语法错误，存在无效符号“^”,7
n n^^屁股,语法错误，存在无效符号“^”,7
还没n^^比,语法错误，存在无效符号“^”,7
睡--睡 觉,语法错误，存在无效符号“-”,7
v漂亮了--变漂亮了,语法错误，存在无效符号“-”,7
我相信你--让,语法错误，存在无效符号“-”,7
m引--大量引,语法错误，存在无效符号“-”,7
[教+育]^^女,语法错误，存在无效符号“^”,7
[教 育]^^女,语法错误，存在无效符号“^”,7
[婚+姻]^^女,语法错误，存在无效符号“^”,7
[婚 姻]^^女,语法错误，存在无效符号“^”,7
话说--没话说,语法错误，存在无效符号“-”,7
感觉如何^^你,语法错误，存在无效符号“^”,7
一.就是--一个,语法错误，存在无效符号“-”,7
有@到w--有没有到,语法错误，存在无效符号“-”,7
也许*绝好--绝好的,语法错误，存在无效符号“-”,7
你这n--w 你这,语法错误，存在无效符号“-”,7
n好v--好[有+想+让+起],语法错误，存在无效符号“-”,7
n好v--好[有 想 让 起],语法错误，存在无效符号“-”,7
他可--他可以,语法错误，存在无效符号“-”,7
把^^人民日报海外版,语法错误，存在无效符号“^”,7
出了[出+一出]--出了出色,语法错误，存在无效符号“-”,7
出了[出 一出]--出了出色,语法错误，存在无效符号“-”,7
v舒服了--可舒服了,语法错误，存在无效符号“-”,7
大概*根本--的根本,语法错误，存在无效符号“-”,7
m辈--辈子,语法错误，存在无效符号“-”,7
必须^^！,语法错误，存在无效符号“^”,7
着--不着,语法错误，存在无效符号“-”,7
[。+，“+‘]我说，--[。+，“+‘]我说，“,语法错误，存在无效符号“-”,7
[。 ，“ ‘]我说，--[。 ，“ ‘]我说，“,语法错误，存在无效符号“-”,7
理论上说^^从理论上说,语法错误，存在无效符号“^”,7
(v)他(a){len($1)=1}--是他--让他,语法错误，存在无效符号“-”,7
似乎正--正在,语法错误，存在无效符号“-”,7
帮助^^急需帮助,语法错误，存在无效符号“^”,7
脏./n--脏腑,语法错误，存在无效符号“-”,7
一句反问--一句反问的话,语法错误，存在无效符号“-”,7
相反--[相反的+相反地],语法错误，存在无效符号“-”,7
相反--[相反的 相反地],语法错误，存在无效符号“-”,7
随即^^还是,语法错误，存在无效符号“^”,7
一路平安^^你,语法错误，存在无效符号“^”,7
，等等w--等等。,语法错误，存在无效符号“-”,7
虽然^^除非,语法错误，存在无效符号“^”,7
本来v--本来就是,语法错误，存在无效符号“-”,7
东.西.--v东v西,语法错误，存在无效符号“-”,7
v充分了--应充分了,语法错误，存在无效符号“-”,7
一定^^一定先,语法错误，存在无效符号“^”,7
好不+a--好不好,语法错误，存在无效符号“-”,7
好不 a--好不好,语法错误，存在无效符号“-”,7
走/v上--走上去,语法错误，存在无效符号“-”,7
谁都v不了^^谁都阻挡不了,语法错误，存在无效符号“^”,7
仿佛正--正在,语法错误，存在无效符号“-”,7
有被.到--没有被.到,语法错误，存在无效符号“-”,7
v+m脚--临门一脚,语法错误，存在无效符号“-”,7
v m脚--临门一脚,语法错误，存在无效符号“-”,7
光速v--p+光速,语法错误，存在无效符号“-”,7
光速v--p 光速,语法错误，存在无效符号“-”,7
背影^^吗,语法错误，存在无效符号“^”,7
计算机^^数据,语法错误，存在无效符号“^”,7
正--正式,语法错误，存在无效符号“-”,7
n一个w--一人一个,语法错误，存在无效符号“-”,7
激情+../v--v*激情,语法错误，存在无效符号“-”,7
激情 ../v--v*激情,语法错误，存在无效符号“-”,7
光--v光,语法错误，存在无效符号“-”,7
或许可--或许可以,语法错误，存在无效符号“-”,7
为--1,语法错误，存在无效符号“-”,7
三方n--三方面,语法错误，存在无效符号“-”,7
她可--她可不可以,语法错误，存在无效符号“-”,7
恭喜恭喜^^了,语法错误，存在无效符号“^”,7
有被*到--有被*到的,语法错误，存在无效符号“-”,7
变--改变,语法错误，存在无效符号“-”,7
w也许，-,语法错误，存在无效符号“-”,7
恐怕*本来v^^想说,语法错误，存在无效符号“^”,7
你一个..，--你一个n,语法错误，存在无效符号“-”,7
虽然^^不管,语法错误，存在无效符号“^”,7
公安^^报,语法错误，存在无效符号“^”,7
你这n--你这[一生 名字 话],语法错误，存在无效符号“-”,7
v饱了--觉得饱了,语法错误，存在无效符号“-”,7
个q--个种,语法错误，存在无效符号“-”,7
退*的--退[下+出+休+化+役+伍+烧],语法错误，存在无效符号“-”,7
退*的--退[下 出 休 化 役 伍 烧],语法错误，存在无效符号“-”,7
人看起来--让人看起来,语法错误，存在无效符号“-”,7
v圆了--变圆了,语法错误，存在无效符号“-”,7
女^^([工作+职场+岗位+职责+职业]),语法错误，存在无效符号“^”,7
女^^([工作 职场 岗位 职责 职业]),语法错误，存在无效符号“^”,7
通常，^^通常，,语法错误，存在无效符号“^”,7
[家+房+屋]^^女,语法错误，存在无效符号“^”,7
[家 房 屋]^^女,语法错误，存在无效符号“^”,7
你还记得^^吗,语法错误，存在无效符号“^”,7
二--二十,语法错误，存在无效符号“-”,7
v晚了--是晚了,语法错误，存在无效符号“-”,7
好像*准v^^准要,语法错误，存在无效符号“^”,7
v倒了--是倒了,语法错误，存在无效符号“-”,7
句叮咛--叮咛的话,语法错误，存在无效符号“-”,7
V美女，--是美女,语法错误，存在无效符号“-”,7
刚/d+v^^刚 ./v,语法错误，存在无效符号“^”,7
刚/d v^^刚 ./v,语法错误，存在无效符号“^”,7
r位a--m位a,语法错误，存在无效符号“-”,7
大概正--正常,语法错误，存在无效符号“-”,7
大概原来^^原来就是,语法错误，存在无效符号“^”,7
[没+没有]过过--从来[没 没有]过过,语法错误，存在无效符号“-”,7
[没 没有]过过--从来[没 没有]过过,语法错误，存在无效符号“-”,7
a精--黄精,语法错误，存在无效符号“-”,7
加油啊^^你,语法错误，存在无效符号“^”,7
v太平了--要太平了,语法错误，存在无效符号“-”,7
w我很a+w--[，+。+！+；+？+“+：+、+…]我很a+w,语法错误，存在无效符号“-”,7
w我很a w--[， 。 ！ ； ？ “ ： 、 …]我很a w,语法错误，存在无效符号“-”,7
的注意--注意[n+nr+ns+nt+r],语法错误，存在无效符号“-”,7
的注意--注意[n nr ns nt r],语法错误，存在无效符号“-”,7
这样说--w这样说w,语法错误，存在无效符号“-”,7
就^^泰国学生,语法错误，存在无效符号“^”,7
于^^100,语法错误，存在无效符号“^”,7
我操！--。我操,语法错误，存在无效符号“-”,7
要不--要不要,语法错误，存在无效符号“-”,7
度^^v度,语法错误，存在无效符号“^”,7
秒v--秒杀,语法错误，存在无效符号“-”,7
v准了--是准了,语法错误，存在无效符号“-”,7
一把n--一把刀,语法错误，存在无效符号“-”,7
m注--十分注,语法错误，存在无效符号“-”,7
当即^^或者,语法错误，存在无效符号“^”,7
句夸奖--夸奖的话,语法错误，存在无效符号“-”,7
一定v^^我一定,语法错误，存在无效符号“^”,7
一.就--成就,语法错误，存在无效符号“-”,7
怎么回事^^是,语法错误，存在无效符号“^”,7
应该^^！,语法错误，存在无效符号“^”,7
v过分了--是过分了,语法错误，存在无效符号“-”,7
看N--看吓一跳,语法错误，存在无效符号“-”,7
有意--有意义,语法错误，存在无效符号“-”,7
成功*钱--钱学森|钱某,语法错误，存在无效符号“-”,7
(a)就(a){$1=$2;len($1)<6}--a就a了--(a)就(a)在{$1=$2;len($1)<6},语法错误，存在无效符号“-”,7
也许*正--正在,语法错误，存在无效符号“-”,7
狮--新浪狮,语法错误，存在无效符号“-”,7
v自[n+f+nr+ns+nt+s+r]--是自,语法错误，存在无效符号“-”,7
v自[n f nr ns nt s r]--是自,语法错误，存在无效符号“-”,7
据云--据云南,语法错误，存在无效符号“-”,7
该*大概--应该,语法错误，存在无效符号“-”,7
睡+n[f+s]--睡一起,语法错误，存在无效符号“-”,7
睡 n[f s]--睡一起,语法错误，存在无效符号“-”,7
v到[n+f+nr+ns+nt+s+r]^^带到,语法错误，存在无效符号“^”,7
v到[n f nr ns nt s r]^^带到,语法错误，存在无效符号“^”,7
一张^^纸,语法错误，存在无效符号“^”,7
v病了--是病了,语法错误，存在无效符号“-”,7
似乎可--似乎可以,语法错误，存在无效符号“-”,7
把*v--把*给V,语法错误，存在无效符号“-”,7
此n*该n--因此,语法错误，存在无效符号“-”,7
谁都v不了^^谁都跑不了,语法错误，存在无效符号“^”,7
或许*索性--那就,语法错误，存在无效符号“-”,7
话说--的话说,语法错误，存在无效符号“-”,7
n媛--媛媛,语法错误，存在无效符号“-”,7
一.就过去--一天,语法错误，存在无效符号“-”,7
m目--目的,语法错误，存在无效符号“-”,7
句肯定--肯定的,语法错误，存在无效符号“-”,7
将*进行到底--革命,语法错误，存在无效符号“-”,7
吃.苦--的,语法错误，存在无效符号“-”,7
r+什么时候+v--无论,语法错误，存在无效符号“-”,7
r 什么时候 v--无论,语法错误，存在无效符号“-”,7
v湿了--是湿了,语法错误，存在无效符号“-”,7
v素了--吃素了,语法错误，存在无效符号“-”,7
城南旧事^^就,语法错误，存在无效符号“^”,7
当即^^也,语法错误，存在无效符号“^”,7
v称--可以称,语法错误，存在无效符号“-”,7
[nr+r]+v+n+给[nr+r]+--给[nr+r]+v,语法错误，存在无效符号“-”,7
[nr r] v n 给[nr r] --给[nr r] v,语法错误，存在无效符号“-”,7
不妨说^^我们不妨说,语法错误，存在无效符号“^”,7
大概*正--正常,语法错误，存在无效符号“-”,7
r这是--v+r+这是,语法错误，存在无效符号“-”,7
r这是--v r 这是,语法错误，存在无效符号“-”,7
我们一个*，--我们一个n,语法错误，存在无效符号“-”,7
到什么时候^^你,语法错误，存在无效符号“^”,7
程度副词^^名词,语法错误，存在无效符号“^”,7
农业^^农村,语法错误，存在无效符号“^”,7
太n--太v,语法错误，存在无效符号“-”,7
当即^^否则,语法错误，存在无效符号“^”,7
一个n^^她们一个n,语法错误，存在无效符号“^”,7
v残废了--要残废了,语法错误，存在无效符号“-”,7
a的脸--可恶,语法错误，存在无效符号“-”,7
钓鱼--在钓鱼,语法错误，存在无效符号“-”,7
固然^^不管,语法错误，存在无效符号“^”,7
这样那样--这样那样的,语法错误，存在无效符号“-”,7
一n一个--人,语法错误，存在无效符号“-”,7
即刻^^既,语法错误，存在无效符号“^”,7
w我a了w--我老了,语法错误，存在无效符号“-”,7
一+件+n--一 件 事,语法错误，存在无效符号“-”,7
一 件 n--一 件 事,语法错误，存在无效符号“-”,7
记忆--记忆力,语法错误，存在无效符号“-”,7
我想^^，我想,语法错误，存在无效符号“^”,7
n机--手机,语法错误，存在无效符号“-”,7
即刻^^只要,语法错误，存在无效符号“^”,7
唯--唯一,语法错误，存在无效符号“-”,7
他一个*；--他一个n,语法错误，存在无效符号“-”,7
和谐-,语法错误，存在无效符号“-”,7
快*了--，,语法错误，存在无效符号“-”,7
挺n--挺ad,语法错误，存在无效符号“-”,7
v个V--是个,语法错误，存在无效符号“-”,7
仿佛本来--本来的,语法错误，存在无效符号“-”,7
当即^^只有,语法错误，存在无效符号“^”,7
vn器--vn器材,语法错误，存在无效符号“-”,7
好像*未免--在说,语法错误，存在无效符号“-”,7
你一个*。--你一个n,语法错误，存在无效符号“-”,7
句讽刺--讽刺话,语法错误，存在无效符号“-”,7
最+n--最ad,语法错误，存在无效符号“-”,7
最 n--最ad,语法错误，存在无效符号“-”,7
从^^看来,语法错误，存在无效符号“^”,7
有被v到--没有被v到,语法错误，存在无效符号“-”,7
m颗n--颗粒,语法错误，存在无效符号“-”,7
那*+m+q+n^^的,语法错误，存在无效符号“^”,7
